aid,featured,first_epid,last_epid,sid,update_anchor,n_episodes,season_fraction
Chevy Chase,FALSE,,,1,TRUE,24,1
Chevy Chase,FALSE,,19761030,2,TRUE,6,0.272727272727273
Alan Zweibel,TRUE,19800409,,5,FALSE,5,0.25
Sasheer Zamata,TRUE,20140118,,39,FALSE,11,0.523809523809524
Sasheer Zamata,TRUE,,,40,FALSE,21,1
Sasheer Zamata,FALSE,,,41,FALSE,21,1
Sasheer Zamata,FALSE,,,42,FALSE,21,1
Fred Wolf,TRUE,,,21,FALSE,20,1
Fred Wolf,TRUE,,19961019,22,FALSE,3,0.15
Casey Wilson,TRUE,20080223,,33,FALSE,8,0.666666666666667
Casey Wilson,TRUE,,,34,FALSE,22,1
Kristen Wiig,TRUE,20051112,,31,FALSE,15,0.789473684210526
Kristen Wiig,FALSE,,,32,FALSE,20,1
Kristen Wiig,FALSE,,,33,FALSE,12,1
Kristen Wiig,FALSE,,,34,FALSE,22,1
Kristen Wiig,FALSE,,,35,FALSE,22,1
Kristen Wiig,FALSE,,,36,FALSE,22,1
Kristen Wiig,FALSE,,,37,FALSE,22,1
Brooks Wheelan,TRUE,,,39,FALSE,21,1
Noel Wells,TRUE,,,39,FALSE,21,1
Patrick Weathers,TRUE,19801213,,6,FALSE,10,0.769230769230769
Damon Wayans,TRUE,,19860315,11,FALSE,12,0.666666666666667
Michaela Watkins,TRUE,20081115,,34,FALSE,15,0.681818181818182
Nancy Walls,FALSE,,,21,FALSE,20,1
Dan Vitale,TRUE,,,11,FALSE,18,1
Melissa Villasenor,TRUE,,,42,FALSE,21,1
Melissa Villasenor,TRUE,,,43,FALSE,2,1
Danitra Vance,FALSE,,,11,FALSE,18,1
Kenan Thompson,TRUE,,,29,FALSE,20,1
Kenan Thompson,TRUE,,,30,FALSE,20,1
Kenan Thompson,FALSE,,,31,FALSE,19,1
Kenan Thompson,FALSE,,,32,FALSE,20,1
Kenan Thompson,FALSE,,,33,FALSE,12,1
Kenan Thompson,FALSE,,,34,FALSE,22,1
Kenan Thompson,FALSE,,,35,FALSE,22,1
Kenan Thompson,FALSE,,,36,FALSE,22,1
Kenan Thompson,FALSE,,,37,FALSE,22,1
Kenan Thompson,FALSE,,,38,FALSE,21,1
Kenan Thompson,FALSE,,,39,FALSE,21,1
Kenan Thompson,FALSE,,,40,FALSE,21,1
Kenan Thompson,FALSE,,,41,FALSE,21,1
Kenan Thompson,FALSE,,,42,FALSE,21,1
Kenan Thompson,FALSE,,,43,FALSE,2,1
Terry Sweeney,FALSE,,,11,FALSE,18,1
Julia Sweeney,TRUE,19901110,,16,FALSE,16,0.8
Julia Sweeney,FALSE,,,17,FALSE,20,1
Julia Sweeney,FALSE,,,18,FALSE,20,1
Julia Sweeney,FALSE,,,19,FALSE,20,1
Jason Sudeikis,TRUE,20050507,,30,FALSE,3,0.15
Jason Sudeikis,TRUE,,,31,FALSE,19,1
Jason Sudeikis,FALSE,,,32,FALSE,20,1
Jason Sudeikis,FALSE,,,33,FALSE,12,1
Jason Sudeikis,FALSE,,,34,FALSE,22,1
Jason Sudeikis,FALSE,,,35,FALSE,22,1
Jason Sudeikis,FALSE,,,36,FALSE,22,1
Jason Sudeikis,FALSE,,,37,FALSE,22,1
Jason Sudeikis,FALSE,,,38,FALSE,21,1
Cecily Strong,TRUE,,,38,FALSE,21,1
Cecily Strong,FALSE,,,39,TRUE,21,1
Cecily Strong,FALSE,,,40,FALSE,21,1
Cecily Strong,FALSE,,,41,FALSE,21,1
Cecily Strong,FALSE,,,42,FALSE,21,1
Cecily Strong,FALSE,,,43,FALSE,2,1
Ben Stiller,TRUE,19890325,,14,FALSE,6,0.3
Pamela Stephenson,FALSE,,,10,FALSE,17,1
David Spade,TRUE,19901110,,16,FALSE,16,0.8
David Spade,TRUE,,,17,FALSE,20,1
David Spade,TRUE,,,18,FALSE,20,1
David Spade,FALSE,,,19,FALSE,20,1
David Spade,FALSE,,,20,FALSE,20,1
David Spade,FALSE,,,21,FALSE,20,1
Robert Smigel,TRUE,,,17,FALSE,20,1
Robert Smigel,TRUE,,,18,FALSE,20,1
Jenny Slate,TRUE,,,35,FALSE,22,1
Sarah Silverman,TRUE,19931009,,19,FALSE,18,0.9
Martin Short,FALSE,,,10,FALSE,17,1
Harry Shearer,FALSE,,,5,FALSE,20,1
Harry Shearer,FALSE,,19850112,10,FALSE,10,0.588235294117647
Molly Shannon,TRUE,19950225,,20,FALSE,7,0.35
Molly Shannon,FALSE,,,21,FALSE,20,1
Molly Shannon,FALSE,,,22,FALSE,20,1
Molly Shannon,FALSE,,,23,FALSE,20,1
Molly Shannon,FALSE,,,24,FALSE,19,1
Molly Shannon,FALSE,,,25,FALSE,20,1
Molly Shannon,FALSE,,20010217,26,FALSE,12,0.6
Paul Shaffer,TRUE,19791117,,5,FALSE,16,0.8
Rob Schneider,TRUE,19901027,,16,FALSE,17,0.85
Rob Schneider,TRUE,,,17,FALSE,20,1
Rob Schneider,FALSE,,,18,FALSE,20,1
Rob Schneider,FALSE,,,19,FALSE,20,1
Tom Schiller,TRUE,19800409,,5,FALSE,5,0.25
Horatio Sanz,TRUE,,,24,FALSE,19,1
Horatio Sanz,FALSE,,,25,FALSE,20,1
Horatio Sanz,FALSE,,,26,FALSE,20,1
Horatio Sanz,FALSE,,,27,FALSE,20,1
Horatio Sanz,FALSE,,,28,FALSE,20,1
Horatio Sanz,FALSE,,,29,FALSE,20,1
Horatio Sanz,FALSE,,,30,FALSE,20,1
Horatio Sanz,FALSE,,,31,TRUE,19,1
Adam Sandler,TRUE,19910209,,16,FALSE,9,0.45
Adam Sandler,TRUE,,,17,FALSE,20,1
Adam Sandler,TRUE,,,18,FALSE,20,1
Adam Sandler,FALSE,,,19,FALSE,20,1
Adam Sandler,FALSE,,,20,FALSE,20,1
Andy Samberg,TRUE,,,31,FALSE,19,1
Andy Samberg,FALSE,,,32,FALSE,20,1
Andy Samberg,FALSE,,,33,FALSE,12,1
Andy Samberg,FALSE,,,34,FALSE,22,1
Andy Samberg,FALSE,,,35,FALSE,22,1
Andy Samberg,FALSE,,,36,FALSE,22,1
Andy Samberg,FALSE,,,37,FALSE,22,1
Maya Rudolph,TRUE,20000506,,25,FALSE,3,0.15
Maya Rudolph,TRUE,,,26,FALSE,20,1
Maya Rudolph,FALSE,,,27,FALSE,20,1
Maya Rudolph,FALSE,,,28,FALSE,20,1
Maya Rudolph,FALSE,,,29,FALSE,20,1
Maya Rudolph,FALSE,,,30,FALSE,20,1
Maya Rudolph,FALSE,,,31,FALSE,19,1
Maya Rudolph,FALSE,,,32,FALSE,20,1
Maya Rudolph,FALSE,,20071103,33,FALSE,4,0.333333333333333
Jon Rudnitsky,TRUE,,,41,FALSE,21,1
Tony Rosato,FALSE,19810411,,6,FALSE,1,0.076923076923077
Tony Rosato,FALSE,,,7,FALSE,20,1
Charles Rocket,FALSE,,,6,TRUE,13,1
Chris Rock,TRUE,,,16,FALSE,20,1
Chris Rock,FALSE,,,17,FALSE,20,1
Chris Rock,FALSE,,,18,FALSE,20,1
Tim Robinson,TRUE,,,38,FALSE,21,1
Ann Risley,FALSE,,,6,FALSE,13,1
Rob Riggle,TRUE,,,30,FALSE,20,1
Jeff Richards,TRUE,,,27,FALSE,20,1
Jeff Richards,TRUE,,,28,FALSE,20,1
Jeff Richards,FALSE,,20040117,29,FALSE,10,0.5
Chris Redd,TRUE,,,43,FALSE,2,1
Gilda Radner,FALSE,,,1,FALSE,24,1
Gilda Radner,FALSE,,,2,FALSE,22,1
Gilda Radner,FALSE,,,3,FALSE,20,1
Gilda Radner,FALSE,,,4,FALSE,20,1
Gilda Radner,FALSE,,,5,FALSE,20,1
Colin Quinn,TRUE,,,21,FALSE,20,1
Colin Quinn,TRUE,,,22,FALSE,20,1
Colin Quinn,FALSE,,,23,TRUE,20,1
Colin Quinn,FALSE,,,24,TRUE,19,1
Colin Quinn,FALSE,,,25,TRUE,20,1
Randy Quaid,FALSE,,,11,FALSE,18,1
Emily Prager,TRUE,19810411,,6,FALSE,1,0.076923076923077
Amy Poehler,TRUE,,,27,FALSE,20,1
Amy Poehler,FALSE,,,28,FALSE,20,1
Amy Poehler,FALSE,,,29,FALSE,20,1
Amy Poehler,FALSE,,,30,TRUE,20,1
Amy Poehler,FALSE,,,31,TRUE,19,1
Amy Poehler,FALSE,,,32,TRUE,20,1
Amy Poehler,FALSE,,,33,TRUE,12,1
Amy Poehler,FALSE,,20081213,34,TRUE,11,0.5
Joe Piscopo,FALSE,,,6,FALSE,13,1
Joe Piscopo,FALSE,,,7,FALSE,20,1
Joe Piscopo,FALSE,,,8,FALSE,20,1
Joe Piscopo,FALSE,,,9,FALSE,19,1
Jay Pharoah,TRUE,,,36,FALSE,22,1
Jay Pharoah,TRUE,,,37,FALSE,22,1
Jay Pharoah,FALSE,,,38,FALSE,21,1
Jay Pharoah,FALSE,,,39,FALSE,21,1
Jay Pharoah,FALSE,,,40,FALSE,21,1
Jay Pharoah,FALSE,,,41,FALSE,21,1
Nasim Pedrad,TRUE,,,35,FALSE,22,1
Nasim Pedrad,TRUE,,,36,FALSE,22,1
Nasim Pedrad,FALSE,,,37,FALSE,22,1
Nasim Pedrad,FALSE,,,38,FALSE,21,1
Nasim Pedrad,FALSE,,,39,FALSE,21,1
Chris Parnell,TRUE,,,24,FALSE,19,1
Chris Parnell,FALSE,,,25,FALSE,20,1
Chris Parnell,FALSE,,,26,FALSE,20,1
Chris Parnell,FALSE,20020302,,27,FALSE,8,0.4
Chris Parnell,FALSE,,,28,FALSE,20,1
Chris Parnell,FALSE,,,29,FALSE,20,1
Chris Parnell,FALSE,,,30,FALSE,20,1
Chris Parnell,FALSE,,,31,FALSE,19,1
Cheri Oteri,FALSE,,,21,FALSE,20,1
Cheri Oteri,FALSE,,,22,FALSE,20,1
Cheri Oteri,FALSE,,,23,FALSE,20,1
Cheri Oteri,FALSE,,,24,FALSE,19,1
Cheri Oteri,FALSE,,,25,FALSE,20,1
Michael O'Donoghue,FALSE,,19751108,1,FALSE,4,0.166666666666667
Mike O'Brien,TRUE,,,39,FALSE,21,1
Luke Null,TRUE,,,43,FALSE,2,1
Don Novello,TRUE,19791013,,5,FALSE,20,1
Don Novello,TRUE,,,11,FALSE,18,1
Laraine Newman,FALSE,,,1,FALSE,24,1
Laraine Newman,FALSE,,,2,FALSE,22,1
Laraine Newman,FALSE,,,3,FALSE,20,1
Laraine Newman,FALSE,,,4,FALSE,20,1
Laraine Newman,FALSE,,,5,FALSE,20,1
Kevin Nealon,TRUE,,,12,FALSE,20,1
Kevin Nealon,FALSE,,,13,FALSE,13,1
Kevin Nealon,FALSE,,,14,FALSE,20,1
Kevin Nealon,FALSE,,,15,FALSE,20,1
Kevin Nealon,FALSE,,,16,FALSE,20,1
Kevin Nealon,FALSE,,,17,TRUE,20,1
Kevin Nealon,FALSE,,,18,TRUE,20,1
Kevin Nealon,FALSE,,,19,TRUE,20,1
Kevin Nealon,FALSE,,,20,FALSE,20,1
Mike Myers,TRUE,19890121,,14,FALSE,11,0.55
Mike Myers,FALSE,,,15,FALSE,20,1
Mike Myers,FALSE,,,16,FALSE,20,1
Mike Myers,FALSE,,,17,FALSE,20,1
Mike Myers,FALSE,,,18,FALSE,20,1
Mike Myers,FALSE,,,19,FALSE,20,1
Mike Myers,FALSE,,19950121,20,FALSE,11,0.55
Bill Murray,FALSE,19770115,,2,FALSE,12,0.545454545454545
Bill Murray,FALSE,,,3,FALSE,20,1
Bill Murray,FALSE,,,4,TRUE,20,1
Bill Murray,FALSE,,,5,TRUE,20,1
Eddie Murphy,FALSE,19801213,,6,FALSE,10,0.769230769230769
Eddie Murphy,FALSE,,,7,FALSE,20,1
Eddie Murphy,FALSE,,,8,FALSE,20,1
Eddie Murphy,FALSE,,19840225,9,FALSE,14,0.736842105263158
Bobby Moynihan,TRUE,,,34,FALSE,22,1
Bobby Moynihan,TRUE,,,35,FALSE,22,1
Bobby Moynihan,FALSE,,,36,FALSE,22,1
Bobby Moynihan,FALSE,,,37,FALSE,22,1
Bobby Moynihan,FALSE,,,38,FALSE,21,1
Bobby Moynihan,FALSE,,,39,FALSE,21,1
Bobby Moynihan,FALSE,,,40,FALSE,21,1
Bobby Moynihan,FALSE,,,41,FALSE,21,1
Bobby Moynihan,FALSE,,,42,FALSE,21,1
Garrett Morris,FALSE,,,1,FALSE,24,1
Garrett Morris,FALSE,,,2,FALSE,22,1
Garrett Morris,FALSE,,,3,FALSE,20,1
Garrett Morris,FALSE,,,4,FALSE,20,1
Garrett Morris,FALSE,,,5,FALSE,20,1
Tracy Morgan,FALSE,,,22,FALSE,20,1
Tracy Morgan,FALSE,,,23,FALSE,20,1
Tracy Morgan,FALSE,,,24,FALSE,19,1
Tracy Morgan,FALSE,,,25,FALSE,20,1
Tracy Morgan,FALSE,,,26,FALSE,20,1
Tracy Morgan,FALSE,,,27,FALSE,20,1
Tracy Morgan,FALSE,,,28,FALSE,20,1
Kyle Mooney,TRUE,,,39,FALSE,21,1
Kyle Mooney,TRUE,,,40,FALSE,21,1
Kyle Mooney,FALSE,,,41,FALSE,21,1
Kyle Mooney,FALSE,,,42,FALSE,21,1
Kyle Mooney,FALSE,,,43,FALSE,2,1
Jay Mohr,TRUE,19931009,,19,FALSE,18,0.9
Jay Mohr,TRUE,,,20,FALSE,20,1
Alex Moffat,TRUE,,,42,FALSE,21,1
Alex Moffat,TRUE,,,43,FALSE,2,1
Finesse Mitchell,TRUE,,,29,FALSE,20,1
Finesse Mitchell,TRUE,,,30,FALSE,20,1
Finesse Mitchell,FALSE,,,31,FALSE,19,1
Jerry Minor,TRUE,,,26,FALSE,20,1
Dennis Miller,FALSE,,,11,TRUE,18,1
Dennis Miller,FALSE,,,12,TRUE,20,1
Dennis Miller,FALSE,,,13,TRUE,13,1
Dennis Miller,FALSE,,,14,TRUE,20,1
Dennis Miller,FALSE,,,15,TRUE,20,1
Dennis Miller,FALSE,,,16,TRUE,20,1
John Milhiser,TRUE,,,39,FALSE,21,1
Seth Meyers,TRUE,,,27,FALSE,20,1
Seth Meyers,TRUE,,,28,FALSE,20,1
Seth Meyers,FALSE,,,29,FALSE,20,1
Seth Meyers,FALSE,,,30,FALSE,20,1
Seth Meyers,FALSE,,,31,FALSE,19,1
Seth Meyers,FALSE,,,32,TRUE,20,1
Seth Meyers,FALSE,,,33,TRUE,12,1
Seth Meyers,FALSE,,,34,TRUE,22,1
Seth Meyers,FALSE,,,35,TRUE,22,1
Seth Meyers,FALSE,,,36,TRUE,22,1
Seth Meyers,FALSE,,,37,TRUE,22,1
Seth Meyers,FALSE,,,38,TRUE,21,1
Seth Meyers,FALSE,,20140201,39,TRUE,13,0.619047619047619
Laurie Metcalf,TRUE,19810411,,6,FALSE,1,0.076923076923077
Tim Meadows,TRUE,19910209,,16,FALSE,9,0.45
Tim Meadows,TRUE,,,17,FALSE,20,1
Tim Meadows,TRUE,,,18,FALSE,20,1
Tim Meadows,FALSE,,,19,FALSE,20,1
Tim Meadows,FALSE,,,20,FALSE,20,1
Tim Meadows,FALSE,,,21,FALSE,20,1
Tim Meadows,FALSE,,,22,FALSE,20,1
Tim Meadows,FALSE,,,23,FALSE,20,1
Tim Meadows,FALSE,,,24,FALSE,19,1
Tim Meadows,FALSE,,,25,FALSE,20,1
Kate McKinnon,TRUE,20120407,,37,FALSE,5,0.227272727272727
Kate McKinnon,TRUE,,,38,FALSE,21,1
Kate McKinnon,FALSE,,,39,FALSE,21,1
Kate McKinnon,FALSE,,,40,FALSE,21,1
Kate McKinnon,FALSE,,,41,FALSE,21,1
Kate McKinnon,FALSE,,,42,FALSE,21,1
Kate McKinnon,FALSE,,,43,FALSE,2,1
Mark McKinney,FALSE,19950114,,20,FALSE,11,0.55
Mark McKinney,FALSE,,,21,FALSE,20,1
Mark McKinney,FALSE,,,22,FALSE,20,1
Michael McKean,FALSE,19940312,,19,FALSE,6,0.3
Michael McKean,FALSE,,,20,FALSE,20,1
Gail Matthius,FALSE,,,6,TRUE,13,1
Norm MacDonald,TRUE,19931002,,19,FALSE,19,0.95
Norm MacDonald,FALSE,,,20,TRUE,20,1
Norm MacDonald,FALSE,,,21,TRUE,20,1
Norm MacDonald,FALSE,,,22,TRUE,20,1
Norm MacDonald,FALSE,,19980314,23,TRUE,16,0.8
Jon Lovitz,FALSE,,,11,FALSE,18,1
Jon Lovitz,FALSE,,,12,FALSE,20,1
Jon Lovitz,FALSE,,,13,FALSE,13,1
Jon Lovitz,FALSE,,,14,FALSE,20,1
Jon Lovitz,FALSE,,,15,FALSE,20,1
Julia Louis-Dreyfus,FALSE,,,8,FALSE,20,1
Julia Louis-Dreyfus,FALSE,,,9,FALSE,19,1
Julia Louis-Dreyfus,FALSE,,,10,FALSE,17,1
Matthew Laurance,TRUE,19801213,,6,FALSE,10,0.769230769230769
Gary Kroeger,FALSE,,,8,FALSE,20,1
Gary Kroeger,FALSE,,,9,FALSE,19,1
Gary Kroeger,FALSE,,,10,FALSE,17,1
