m_avg,f_avg,u18_avg,m_u18_avg,f_u18_avg,18-29_avg,m_18-29_avg,f_18-29_avg,30-44_avg,m_30-44_avg,f_30-44_avg,45+_avg,m_45+_avg,f_45+_avg,top_1000_vot,us_users_avg,non_users_avg,imdb_users_avg,epno,crv-1,crv-2,crv-3,crv-4,crv-5,crv-6,crv-7,crv-8,crv-9,crv-10,sid
7.4,6.8,0.0,0.0,0.0,0.0,7.8,5.3,8.5,8.0,10.0,6.1,5.8,7.0,7.5,6.6,7.7,7.0,2,10,4,5,11,9,3,0,1,2,2,43
6.0,6.5,0.0,0.0,0.0,6.0,6.2,4.6,6.0,5.5,7.4,6.5,6.5,6.3,6.6,6.0,6.6,5.9,1,21,9,20,27,15,11,5,4,1,15,43
7.7,6.8,0.0,0.0,0.0,7.7,8.0,4.9,7.6,7.4,8.1,7.6,7.8,6.0,7.3,7.3,7.9,7.3,0,17,9,15,25,23,8,5,1,2,4,43
6.9,6.3,0.0,0.0,0.0,7.5,7.8,5.4,6.3,6.1,6.9,6.9,7.0,6.2,6.3,6.6,7.0,6.7,20,35,17,26,39,17,2,1,1,2,13,42
7.0,7.4,0.0,0.0,0.0,7.3,7.7,5.8,7.3,7.1,7.9,6.6,6.2,8.8,6.9,6.6,7.7,7.1,19,24,4,30,36,24,9,3,3,5,19,42
7.8,7.9,0.0,0.0,0.0,8.3,8.3,7.9,7.5,7.4,8.0,7.6,7.5,7.7,7.5,7.4,8.1,7.9,18,16,5,17,28,25,17,10,3,8,16,42
6.3,6.8,0.0,0.0,0.0,6.8,7.0,6.1,6.2,5.9,7.4,6.3,6.1,6.0,6.6,6.2,6.8,6.4,17,33,6,30,34,27,17,6,4,4,21,42
5.6,6.4,0.0,0.0,0.0,6.1,5.9,6.6,5.6,5.3,6.4,6.1,5.9,6.2,5.3,5.6,6.1,5.6,16,40,26,49,25,20,6,5,3,4,17,42
5.9,6.7,0.0,0.0,0.0,6.1,6.2,5.4,5.9,5.6,7.5,6.5,6.2,8.3,5.9,5.5,6.7,6.0,15,26,17,32,31,31,7,3,2,3,22,42
6.3,7.0,0.0,0.0,0.0,6.6,6.3,7.6,6.4,6.3,6.9,6.6,6.4,7.7,6.8,6.3,6.5,6.5,14,16,5,6,29,32,20,12,9,5,25,42
6.7,7.5,0.0,0.0,0.0,6.9,6.9,6.4,6.9,6.6,7.8,6.6,6.3,8.3,6.7,6.4,7.1,6.8,13,36,19,48,45,20,10,2,4,4,25,42
6.4,7.4,0.0,0.0,0.0,6.8,6.5,8.3,6.2,6.1,7.1,6.7,6.5,7.2,6.3,6.5,6.5,6.6,12,120,60,58,44,16,10,4,3,5,26,42
