epid,epno,sid,aired
19880227,13,13,1988-02-27
20171007,2,43,2017-10-07
20170930,1,43,2017-09-30
19880220,12,13,1988-02-20
19880213,11,13,1988-02-13
19880130,10,13,1988-01-30
19880123,9,13,1988-01-23
19871219,8,13,1987-12-19
19871212,7,13,1987-12-12
19871205,6,13,1987-12-05
19871121,5,13,1987-11-21
19871114,4,13,1987-11-14
19871031,3,13,1987-10-31
19871024,2,13,1987-10-24
19871017,1,13,1987-10-17
20170520,21,42,2017-05-20
20170513,20,42,2017-05-13
20170506,19,42,2017-05-06
20170415,18,42,2017-04-15
20170408,17,42,2017-04-08
20170311,16,42,2017-03-11
20170304,15,42,2017-03-04
20170211,14,42,2017-02-11
20170204,13,42,2017-02-04
20170121,12,42,2017-01-21
20170114,11,42,2017-01-14
20161217,10,42,2016-12-17
20161210,9,42,2016-12-10
20161203,8,42,2016-12-03
20161119,7,42,2016-11-19
20161112,6,42,2016-11-12
20161105,5,42,2016-11-05
20161022,4,42,2016-10-22
20161015,3,42,2016-10-15
20161008,2,42,2016-10-08
20161001,1,42,2016-10-01
20160521,21,41,2016-05-21
20160514,20,41,2016-05-14
20160507,19,41,2016-05-07
20160416,18,41,2016-04-16
20160409,17,41,2016-04-09
20160402,16,41,2016-04-02
20160312,15,41,2016-03-12
20160305,14,41,2016-03-05
20160213,13,41,2016-02-13
20160206,12,41,2016-02-06
20160123,11,41,2016-01-23
20160116,10,41,2016-01-16
20151219,9,41,2015-12-19
20151212,8,41,2015-12-12
20151205,7,41,2015-12-05
20151121,6,41,2015-11-21
20151114,5,41,2015-11-14
20151107,4,41,2015-11-07
20151017,3,41,2015-10-17
20151010,2,41,2015-10-10
20151003,1,41,2015-10-03
20150516,21,40,2015-05-16
20150509,20,40,2015-05-09
20150502,19,40,2015-05-02
20150411,18,40,2015-04-11
20150404,17,40,2015-04-04
20150328,16,40,2015-03-28
20150307,15,40,2015-03-07
20150228,14,40,2015-02-28
20150131,13,40,2015-01-31
20150124,12,40,2015-01-24
20150117,11,40,2015-01-17
20141220,10,40,2014-12-20
20141213,9,40,2014-12-13
20141206,8,40,2014-12-06
20141122,7,40,2014-11-22
20141115,6,40,2014-11-15
20141101,5,40,2014-11-01
20141025,4,40,2014-10-25
20141011,3,40,2014-10-11
20141004,2,40,2014-10-04
20140927,1,40,2014-09-27
20140517,21,39,2014-05-17
20140510,20,39,2014-05-10
20140503,19,39,2014-05-03
