impid,aid,imp_name
683,Al Franken,Pat Robertson
694,Phil Hartman,Jimmy Swaggart
3783,Gal Gadot,Gigi Hadid
3784,Gal Gadot,Kendall Jenner
3787,Leslie Jones,NeNe Leakes
3786,Kate McKinnon,Bella Hadid
3788,Luke Null,Blake Shelton
3785,Chris Redd,Kanye West
3769,Melissa Villasenor,Gwen Stefani
2612,Kenan Thompson,O.J. Simpson
3263,Kate McKinnon,Ruth Bader Ginsburg
3690,Alec Baldwin,Donald Trump
3778,Aidy Bryant,Sarah Huckabee Sanders
3753,Kate McKinnon,Jeff Sessions
3781,Alex Moffat,Charles Schumer
3782,Melissa Villasenor,Carmen Yulín Cruz
3374,Kate McKinnon,Angela Merkel
690,Dana Carvey,Jim McKay
689,Phil Hartman,Dick Button
691,Jan Hooks,Peggy Fleming
692,Phil Hartman,Barbara Bush
693,Jan Hooks,Elizabeth Dole
580,Dana Carvey,Casey Kasem
681,Dan Aykroyd,Bob Dole
651,Dana Carvey,George Bush
678,Nora Dunn,Pat Schroeder
682,Phil Hartman,Jack Kemp
684,Kevin Nealon,Pierre du Pont IV
685,Dana Carvey,"Michael J. Fox , Alex"
686,Jan Hooks,"Meredith Baxter-Birney , Elyse"
688,Victoria Jackson,"Tina Yothers , Jennifer"
687,Kevin Nealon,"Michael Gross , Steven"
649,Dana Carvey,George F. Will
671,Nora Dunn,Barbara Bush
672,Carl Weathers,Doug Williams
599,Phil Hartman,"Jimmy ""The Greek"" Snyder"
598,Kevin Nealon,Brent Musburger
676,Carl Weathers,Jesse Jackson
679,Dana Carvey,Richard Gephardt
680,Al Franken,Sen. Paul Simon
674,Phil Hartman,Bruce Babbitt
677,Jon Lovitz,Michael Dukakis
675,Dennis Miller,Gary Hart
673,Kevin Nealon,Al Gore
666,Robin Williams,Dr. Gene Scott
668,Dana Carvey,Gallagher
670,Nora Dunn,Shelley Duvall
669,Phil Hartman,Robert Vaughn
667,Jan Hooks,Elayne Boosler
618,Phil Hartman,Peter Graves
665,Dana Carvey,Dennis Miller
662,Nora Dunn,Raisa Gorbachev
573,Phil Hartman,Phil Donahue
616,Jan Hooks,Nancy Reagan
663,Jon Lovitz,Stephen King
595,Nora Dunn,"Tyne Daly , Mary Beth Lacey"
664,Phil Hartman,"Earl Holliman , Sergeant Crowley"
213,Al Franken,Henry Kissinger
659,Danny DeVito,Mikhail Gorbachev
592,Phil Hartman,Ronald Reagan
661,Phil Hartman,Roger Ebert
660,Kevin Nealon,Gene Siskel
635,Jan Hooks,Jessica Hahn
569,Nora Dunn,Ann Landers
658,Jon Lovitz,Douglas Ginsburg
593,Jan Hooks,Corazon Aquino
614,Dana Carvey,Robin Leach
657,Nora Dunn,Peggy Lee
655,Jon Lovitz,Louis Rukeyser
656,Sean Penn,Robert DeNiro
652,Jon Lovitz,Robert Bork
653,Nora Dunn,Jeane Kirkpatrick
654,Dana Carvey,George Plimpton
2597,Scarlett Johansson,Ivanka Trump
3701,Beck Bennett,Mike Pence
3698,Mikey Day,Donald Trump Jr.
3696,Kate McKinnon,Kellyanne Conway
3693,Alex Moffat,Eric Trump
3601,Cecily Strong,Melania Trump
3691,Michael Che,Lester Holt
3777,Mikey Day,Paul Ryan
3707,Alex Moffat,Anderson Cooper
3742,Melissa McCarthy,Sean Spicer
3743,Bobby Moynihan,Glenn Thrush
3584,Cecily Strong,Marion Cotillard
3700,Sasheer Zamata,Lupita Nyong'o
3772,Beck Bennett,Mark Halperin
3775,Mikey Day,Willie Geist
3774,Kate McKinnon,Mika Brzezinski
3771,Alex Moffat,Joe Scarborough
3773,Bobby Moynihan,Mike Barnicle
3776,Mikey Day,Greg Lee
3464,Kenan Thompson,Neil deGrasse Tyson
3764,Jimmy Fallon,Jared Kushner
3765,Jimmy Fallon,John Travolta
3766,Harry Styles,Mick Jagger
