skid,sk_name
1,A Film by Albert Brooks
2,Black Perspective
3,Minute Mystery
4,Looks at Books
5,A Film by Gary Weis
6,Home Movie
7,Bisexual Minute
8,Great Moments In Herstory
9,The Mr. Bill Show
10,Tomorrow
11,Not For Ladies Only
12,Baba Wawa At Large
13,Mr. Mike's Least-Loved Bedtime Tales
14,Crossroads
15,Consumer Probe
16,How Your Children Grow
17,Great Moments In Rock & Roll
18,Schiller's Reel
19,The Franken and Davis Show
20,X-Police
21,More Insects To Worry About
22,What If?
24,The David Susskind Show
25,On The Spot
26,Woman To Woman
27,The Bel Airabs
28,What's It All About
29,SNL Sports
30,Rocket Report
31,60 Minutes
32,Mister Robinson's Neighborhood
33,I Married A Monkey
34,A Few Minutes with Andy Rooney
35,The Bizarro World
36,Cheap Laffs
37,The People's Court
38,The Uncle Tom Show
39,Focus On Film
40,Speaking as a Woman
41,20/20
42,Late Night with David Letterman
43,Donahue
44,The Interesting Four
45,The Tonight Show
46,Larry's Corner
47,Book Beat
48,Entertainment Tonight
49,Fascinating People and Their Friends
50,Unanswered Questions of the Universe
51,"Hello, Trudy!"
52,MTV News
53,Lifestyles of The Relatives of The Rich and Famous
54,Rich Hall's Election Report
55,First Draft Theater
56,Tippi Turtle
57,Fernando's Hideaway
58,The Joe Franklin Show
59,Strictly From Blackwell
60,The Limits Of The Imagination
61,The Pat Stevens Show
62,"Craig Sundberg, Idiot Savant"
63,Master Thespian
64,That Black Girl
65,The Further Adventures Of Biff And Salena
66,Actors On Film
67,Church Chat
68,Instant Coffee
69,Miss Connie's Fable Nook
70,The NFL Today
71,Nightline
72,Discover
73,This Week with David Brinkley
74,Pumping Up With Hans & Franz
75,Learning to Feel
76,Mr. Short-Term Memory
77,Plug Away
78,Attitudes
79,As World Turn
80,Wayne's World
81,Tales of Ribaldry
82,Cooking with The Anal Retentive Chef
83,Lothar Of The Hill People
84,Sprockets
85,The Bob Waltman Special
86,"Toonces, The Cat Who Could Drive A Car"
87,Primetime Live
88,"Lyle, The Effeminate Heterosexual"
89,The Continental
90,Middle-Aged Man
91,Live With Regis & Kathie Lee
92,Simon
93,The Dark Side
94,The McLaughlin Group
95,Sally
96,I'm Chillin'
97,Bill Swerski's Super Fans
98,Deep Thoughts
99,Coffee Talk
100,Daily Affirmation
101,It's Pat
102,"Frank Gannon, P.I. P.I."
103,Tales From The Barbecue
104,The Chris Farley Show
105,Unfrozen Cave Man Lawyer
106,Theatre Stories
107,The Sensitive Naked Man
108,Larry King Live
109,Tori
110,Sassy's Sassiest Boys
111,Office Space
112,The Real World
113,The Denise Show
114,Christopher Walken's Celebrity Psychic Friends Network
115,Rob Schneider's Girlfriend Theater
116,Ricki Lake
117,Good Morning Brooklyn
118,Scottish Soccer Hooligan Weekly
119,Perspectives
120,Taxicab Confessions
121,Zagat's
122,O.J. Today
123,Leg Up
124,Spade in America
125,Biography
126,Fuzzy Memories
127,Inside Politics
128,The Joe Pesci Show
129,Today
130,Martha Stewart Living
131,The Local News
132,"Hey, Remember The 80's"
133,The Ambiguously Gay Duo
134,Brief Histories
135,Fun With Real Audio
136,The Barbara Walters Special
137,The Delicious Dish
138,Shopping at Home Network
139,Michael Jackson
140,The Gossip Show
141,Jeopardy!
142,The Late Show
143,Janet Reno's Dance Party
144,The X-Presidents
145,"Wong & Owens, Ex-Porn Stars"
146,Charlie Rose
147,Barbara Walters Oscar Special
148,Prime Minister's Questions
149,Goth Talk
151,Oprah
152,"Space, The Infinite Frontier"
153,The Lost Deep Thoughts
154,The Ladies' Man
155,The Golords
156,Good Morning with Liza!
157,Issues
158,Monday Night Football
159,Morning Latte
160,Colin Quinn Explains The New York Times
161,The Robin Byrd Show
162,The View
163,Judge Judy
164,Tiger Beat's Ultra Super Duper Dreamy Love Show
