tid,epid,skid,category,name,skorder
198802271,19880227,74,Cold Opening,Pumping Up With Hans & Franz,0
198802272,19880227,,Monologue,,1
198802273,19880227,,Commercial,Wilson Trap Doors,2
198802274,19880227,67,Show,Church Chat,3
198802275,19880227,,Sketch,Deregulated Airline,4
198802276,19880227,,Intro,,5
198802277,19880227,,Musical Performance,Like the Weather,6
198802278,19880227,,Weekend Update,,7
198802279,19880227,,Sketch,"Jorge Garcia, Nice Guy Dictator",8
1988022710,19880227,,Show,The Cop & The Prostitute,9
1988022711,19880227,,Show,When Great Minds Meet,10
1988022712,19880227,,Intro,,11
1988022713,19880227,,Musical Performance,What's the Matter Here,12
1988022714,19880227,,Sketch,Pirates,13
1988022715,19880227,,Goodnights,,14
201710071,20171007,,Cold Opening,I Won't Back Down,0
201710072,20171007,,Monologue,,1
201710073,20171007,,Commercial,E! New Fall Lineup,2
201710074,20171007,,Sketch,First Date,3
201710075,20171007,,Film,The Chosen One,4
201710076,20171007,,Sketch,Mirage,5
201710077,20171007,,Commercial,Safelite AutoGlass,6
201710078,20171007,,Musical Performance,Too Good At Goodbyes,7
201710079,20171007,,Weekend Update,,8
2017100710,20171007,,Show,The Maiden and The Mice,9
2017100711,20171007,,Sketch,Espionage,10
2017100712,20171007,,Musical Performance,Pray,11
2017100713,20171007,,Sketch,Themyscira,12
2017100714,20171007,,Show,The Naomi Show,13
2017100715,20171007,,Goodnights,,14
201709301,20170930,,Cold Opening,The Chaos President,0
201709302,20170930,,Monologue,,1
201709303,20170930,,Sketch,Another Close Encounter,2
201709304,20170930,,Commercial,Levi's Wokes,3
201709305,20170930,,Commercial,The Fliplets,4
201709306,20170930,,Musical Performance,Bam,5
201709307,20170930,,Weekend Update,,6
201709308,20170930,,Sketch,Henrietta & The Fugitive,7
201709309,20170930,,Sketch,Italian Restaurant,8
2017093010,20170930,,Musical Performance,04:44:00,9
2017093011,20170930,,Film,Papyrus,10
2017093012,20170930,,Sketch,Dive Bar,11
2017093013,20170930,,In Memoriam,,12
2017093014,20170930,,Goodnights,,13
198802201,19880220,,Cold Opening,Calgary 1988,0
198802202,19880220,,Monologue,,1
198802203,19880220,,Sketch,Giant Businessman,2
198802204,19880220,,Sketch,The Bean Cafe,3
198802205,19880220,61,Show,The Pat Stevens Show,4
198802206,19880220,,Musical Performance,"Forever and Ever, Amen",5
198802207,19880220,,Weekend Update,,6
198802208,19880220,,Sketch,Girl Watchers,7
198802209,19880220,,Sketch,Apple Support Systems,8
1988022010,19880220,,Commercial,Casey Kasem Sings The Beatles,9
1988022011,19880220,,Sketch,Delivery Room,10
1988022012,19880220,,Sketch,Stand-Ups,11
1988022013,19880220,,Musical Performance,What'll You Do,12
1988022014,19880220,,Sketch,Sentimental Value Pawn Shop,13
1988022015,19880220,,Goodnights,,14
198802131,19880213,,Cold Opening,Republican Debate 88,0
198802132,19880213,,Monologue,,1
198802133,19880213,,Sketch,Family Ties,2
198802134,19880213,75,Show,Learning to Feel,3
198802135,19880213,,Musical Performance,Wishing Well,4
198802136,19880213,,Weekend Update,,5
198802137,19880213,,Sketch,Inspiration,6
198802138,19880213,,Sketch,St. Valentine's Day Massacre,7
198802139,19880213,,Musical Performance,Under My Thumb,8
1988021310,19880213,,Sketch,Talking Behind Her Back,9
1988021311,19880213,,Show,Friday Night Videos,10
1988021312,19880213,,Goodnights,,11
198801301,19880130,,Cold Opening,BushWhacked!,0
198801302,19880130,,Monologue,,1
198801303,19880130,,Commercial,Handi-Off,2
198801304,19880130,70,Show,The NFL Today,3
198801305,19880130,,Show,Democratic Debate 88,4
198801306,19880130,,Sketch,Mother-in-Law,5
198801307,19880130,,Musical Performance,Testimony,6
198801308,19880130,,Weekend Update,,7
198801309,19880130,,Sketch,Sitcom Actress,8
1988013010,19880130,,Musical Performance,Somewhere Down the Crazy River,9
1988013011,19880130,63,Sketch,Master Thespian,10
1988013012,19880130,,Film,The Garden,11
1988013013,19880130,,Goodnights,,12
198801231,19880123,74,Cold Opening,Pumping Up With Hans & Franz,0
198801232,19880123,,Monologue,,1
198801233,19880123,,Commercial,Compulsion,2
198801234,19880123,,Sketch,Birth Tape,3
198801235,19880123,75,Show,Learning to Feel,4
198801236,19880123,,Musical Performance,Never Die Young,5
198801237,19880123,,Weekend Update,,6
198801238,19880123,,Sketch,60th Birthday,7
198801239,19880123,,Musical Performance,Sweet Potato Pie,8
1988012310,19880123,,Award Show,The 8th Annual ACE Awards,9
1988012311,19880123,,Musical Performance,Lonesome Road,10
1988012312,19880123,72,Show,Discover,11
1988012313,19880123,,Sketch,I Wuv You,12
1988012314,19880123,,Goodnights,,13
198712191,19871219,,Cold Opening,30th Christmas,0
198712192,19871219,,Monologue,,1
198712193,19871219,,Commercial,Gary Hart,2
198712194,19871219,74,Show,Pumping Up With Hans & Franz,3
198712195,19871219,,Sketch,Castaways,4
198712196,19871219,63,Sketch,Master Thespian,5
198712197,19871219,,Musical Performance,"Los Laureles"", ""La Cigarra",6
198712198,19871219,,Weekend Update,,7
198712199,19871219,,Sketch,Ski Lodge,8
1987121910,19871219,,Sketch,Subway,9
1987121911,19871219,,Show,Succinctly Speaking,10
1987121912,19871219,,Miscellaneous,Season's Greetings,11
1987121913,19871219,,Musical Performance,Under African Skies,12
1987121914,19871219,,Sketch,Texas Diner,13
1987121915,19871219,,Miscellaneous,A Message to Future Viewers,14
1987121916,19871219,,Goodnights,,15
198712121,19871212,,Cold Opening,Translator,0
198712122,19871212,,Monologue,,1
198712123,19871212,,Commercial,Docu-fresh,2
198712124,19871212,,Sketch,Airplane,3
198712125,19871212,43,Show,Donahue,4
198712126,19871212,,Game Show,Wedgie Fever!,5
198712127,19871212,,Musical Performance,Hot Hot Hot,6
198712128,19871212,,Weekend Update,,7
198712129,19871212,,Sketch,Christmas Party,8
1987121210,19871212,,Musical Performance,Song For My Sara,9
1987121211,19871212,,Show,Police Women,10
1987121212,19871212,,Commercial,The Assimilated Jew's Hanukkah,11
1987121213,19871212,,Sketch,Drunk Man,12
1987121214,19871212,,Goodnights,,13
198712051,19871205,,Cold Opening,Gorbachev/Reagan,0
198712052,19871205,,Monologue,,1
198712053,19871205,,Commercial,Handi-Off,2
198712054,19871205,,Show,At The Movies,3
198712055,19871205,67,Show,Church Chat,4
198712056,19871205,,Musical Performance,The Right Stuff,5
198712057,19871205,,Weekend Update,,6
198712058,19871205,,Sketch,Jungle Room,7
198712059,19871205,,Sketch,Mona Lisa,8
1987120510,19871205,,Show,Ann Landers' Playhouse,9
1987120511,19871205,,Musical Performance,Kiss and Tell,10
1987120512,19871205,,Sketch,Doorman,11
1987120513,19871205,,Goodnights,,12
198711211,19871121,,Cold Opening,A Message From The Vice President,0
198711212,19871121,,Monologue,,1
198711213,19871121,74,Show,Pumping Up With Hans & Franz,2
198711214,19871121,,Sketch,Anne Boleyn,3
198711215,19871121,,Commercial,Manufacturers of Machine Part Components United To Save Our Courts,4
198711216,19871121,,Musical Performance,We All Sleep Alone,5
198711217,19871121,,Sketch,Ching Change,6
198711218,19871121,,Weekend Update,,7
198711219,19871121,,Sketch,Mayflower Madam,8
1987112110,19871121,,Musical Sketch,Country Through and Through,9
1987112111,19871121,,Musical Performance,I Found Someone,10
1987112112,19871121,,Sketch,Thought Bubble,11
1987112113,19871121,,Sketch,Peeping Tom,12
1987112114,19871121,,Goodnights,,13
198711141,19871114,,Cold Opening,The Rolling Paper Chase,0
198711142,19871114,,Monologue,,1
198711143,19871114,,Commercial,Compulsion,2
198711144,19871114,,Sketch,Death Be Not Deadly,3
198711145,19871114,,Sketch,The Mountain Man,4
198711146,19871114,,Musical Performance,The Right Thing,5
198711147,19871114,,Weekend Update,,6
198711148,19871114,,Sketch,Sweeney's Comeback,7
198711149,19871114,,Film,Out Of Gas,8
1987111410,19871114,,Sketch,Andre & Rex: Macho Hairstylists,9
1987111411,19871114,,Commercial,BeautyBath,10
1987111412,19871114,,Musical Performance,Suffer,11
1987111413,19871114,,Sketch,Mysterious Old Man,12
1987111414,19871114,,Goodnights,,13
198710311,19871031,,Cold Opening,"Lifestyles of the Rich, Famous and Scary",0
198710312,19871031,,Monologue,,1
198710313,19871031,,Commercial,Nature's Broom,2
198710314,19871031,,Show,The Winning Spirit,3
